dataset,split_role,scorer,variant,hyperparams,protocol,auroc,auroc_ci_low,auroc_ci_high,fpr95,seed,repo_commit,openood_commit,timestamp
mnist+svhn+texture+places365,far_ood,knn_unnormalized,,{},standard,91.87794265803866,91.60924796619265,92.15713959334406,36.3842270233146,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,knn_unnormalized,,{},full_spectrum,96.82530672221542,96.55923824398045,97.08294751932888,13.880783659858272,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,knn_unnormalized,,{},full_spectrum,90.02763136025227,89.5486082686365,90.49372982894516,37.31067386586979,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_all_id,,{},standard,97.37317103025732,97.2160457234165,97.54108636535065,12.386113261477997,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_all_id,,{},standard,98.92242688157116,98.84274099632815,99.00076140421805,5.1400264490344645,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_all_id,,{},full_spectrum,95.33963756611676,95.08772882057906,95.59383102252762,19.770142321205263,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_all_id,,{},full_spectrum,97.8559042927089,97.72263156309059,97.98735413257398,10.29758816953685,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_class_mean,,{},standard,93.36604570687523,93.05426136551606,93.65700372840536,33.22217590662776,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_class_mean,,{},standard,83.93990475749776,83.57753423234072,84.27832367878631,56.519102486355365,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_class_mean,,{},full_spectrum,95.67806017182212,95.34481854868984,96.02168720090813,21.07425713094742,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_class_mean,,{},full_spectrum,87.32727744737547,86.83629858734882,87.79429698900174,40.45460191280586,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_all_id_l2,,{},standard,97.37858796985518,97.22186396282842,97.54599504092315,12.785089025189066,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_all_id_l2,,{},standard,99.60354740165432,99.54374534726738,99.65803168607317,1.207011186041924,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_all_id_l2,,{},full_spectrum,93.94618945000668,93.65615493750978,94.26040515632383,24.71863276365152,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_all_id_l2,,{},full_spectrum,98.6359503393392,98.51957837621735,98.7489096276511,7.093747945085376,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_class_mean_l2,,{},standard,97.21147402687627,97.02921488450875,97.38657766628953,16.16745072351575,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_class_mean_l2,,{},standard,98.21665729016735,98.06046744081644,98.35387579223301,9.4902350457013,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_class_mean_l2,,{},full_spectrum,96.41557966088745,96.17952231135072,96.63965367907052,18.811409515869705,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_class_mean_l2,,{},full_spectrum,97.86435883470034,97.69160296954735,98.0267618433886,11.419114907172656,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_class_mean_whitened,,{},standard,97.80833713782859,97.67773391856394,97.95363722152749,10.63538379086524,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_class_mean_whitened,,{},standard,97.49398653843187,97.39621773936254,97.59639079869102,9.875280381684409,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
cifar100+tin,near_ood,pca_residual_class_mean_whitened,,{},full_spectrum,96.96755965255065,96.76296071378701,97.17810798758832,13.660453760495445,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
mnist+svhn+texture+places365,far_ood,pca_residual_class_mean_whitened,,{},full_spectrum,96.63152062924053,96.46648898410666,96.79389075111527,12.58959427765641,20260909,0703028,8d44375e4c695d03d2b97850b754f24fd4bda447,2026-09-10
